,nom_du_site_de_comptage,comptage_horaire,date_et_heure_de_comptage,orientation_compteur,latitude,longitude,arrondissement,jour_ferie,vacances_scolaires,temperature_2m_c,weather_code_wmo_code,rain_mm,snowfall_cm,elevation,weather_code_wmo_code_category
0,Totem 73 boulevard de Sébastopol,19,2024-03-01 03:00:00+00:00,N-S,48.86377,2.35096,Paris 2e Arrondissement,0,aucune,5.7,1,0.0,0.0,48.0,cloud_variation
1,Totem 73 boulevard de Sébastopol,35,2024-03-01 04:00:00+00:00,N-S,48.86377,2.35096,Paris 2e Arrondissement,0,aucune,5.1,2,0.0,0.0,48.0,cloud_variation
2,Totem 73 boulevard de Sébastopol,66,2024-03-01 05:00:00+00:00,N-S,48.86377,2.35096,Paris 2e Arrondissement,0,aucune,5.2,2,0.0,0.0,48.0,cloud_variation
3,Totem 73 boulevard de Sébastopol,233,2024-03-01 06:00:00+00:00,N-S,48.86377,2.35096,Paris 2e Arrondissement,0,aucune,4.9,2,0.0,0.0,48.0,cloud_variation
4,Totem 73 boulevard de Sébastopol,588,2024-03-01 07:00:00+00:00,N-S,48.86377,2.35096,Paris 2e Arrondissement,0,aucune,4.8,3,0.0,0.0,48.0,cloud_variation
5,Totem 73 boulevard de Sébastopol,563,2024-03-01 08:00:00+00:00,N-S,48.86377,2.35096,Paris 2e Arrondissement,0,aucune,5.2,3,0.0,0.0,48.0,cloud_variation
6,Totem 73 boulevard de Sébastopol,309,2024-03-01 09:00:00+00:00,N-S,48.86377,2.35096,Paris 2e Arrondissement,0,aucune,6.8,3,0.0,0.0,48.0,cloud_variation
7,Totem 73 boulevard de Sébastopol,249,2024-03-01 10:00:00+00:00,N-S,48.86377,2.35096,Paris 2e Arrondissement,0,aucune,8.0,80,0.0,0.0,48.0,showers_or_small_hail
8,Totem 73 boulevard de Sébastopol,357,2024-03-01 11:00:00+00:00,N-S,48.86377,2.35096,Paris 2e Arrondissement,0,aucune,8.6,61,0.2,0.0,48.0,rain_snow_combination
9,Totem 73 boulevard de Sébastopol,323,2024-03-01 12:00:00+00:00,N-S,48.86377,2.35096,Paris 2e Arrondissement,0,aucune,9.8,61,0.7,0.0,48.0,rain_snow_combination
10,Totem 73 boulevard de Sébastopol,324,2024-03-01 13:00:00+00:00,N-S,48.86377,2.35096,Paris 2e Arrondissement,0,aucune,10.2,3,0.0,0.0,48.0,cloud_variation
11,Totem 73 boulevard de Sébastopol,317,2024-03-01 14:00:00+00:00,N-S,48.86377,2.35096,Paris 2e Arrondissement,0,aucune,10.1,61,0.1,0.0,48.0,rain_snow_combination
12,Totem 73 boulevard de Sébastopol,349,2024-03-01 15:00:00+00:00,N-S,48.86377,2.35096,Paris 2e Arrondissement,0,aucune,11.1,61,0.1,0.0,48.0,rain_snow_combination
13,Totem 73 boulevard de Sébastopol,429,2024-03-01 16:00:00+00:00,N-S,48.86377,2.35096,Paris 2e Arrondissement,0,aucune,10.7,3,0.0,0.0,48.0,cloud_variation
14,Totem 73 boulevard de Sébastopol,555,2024-03-01 17:00:00+00:00,N-S,48.86377,2.35096,Paris 2e Arrondissement,0,aucune,10.1,3,0.0,0.0,48.0,cloud_variation
