,comptage_horaire,jour_ferie,vacances_scolaires,date_et_heure_de_comptage_utc,date_et_heure_de_comptage_local,date_et_heure_de_comptage_week_end,date_et_heure_de_comptage_sin_hour,date_et_heure_de_comptage_cos_hour,date_et_heure_de_comptage_sin_day_of_week,date_et_heure_de_comptage_cos_day_of_week,date_et_heure_de_comptage_sin_month,date_et_heure_de_comptage_cos_month
0,19,0,aucune,2024-03-01 03:00:00+00:00,2024-03-01 04:00:00+01:00,0,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17
1,35,0,aucune,2024-03-01 04:00:00+00:00,2024-03-01 05:00:00+01:00,0,0.9659258262890683,0.25881904510252074,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17
2,66,0,aucune,2024-03-01 05:00:00+00:00,2024-03-01 06:00:00+01:00,0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17
3,233,0,aucune,2024-03-01 06:00:00+00:00,2024-03-01 07:00:00+01:00,0,0.9659258262890683,-0.25881904510252063,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17
4,588,0,aucune,2024-03-01 07:00:00+00:00,2024-03-01 08:00:00+01:00,0,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17
5,563,0,aucune,2024-03-01 08:00:00+00:00,2024-03-01 09:00:00+01:00,0,0.7071067811865476,-0.7071067811865475,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17
6,309,0,aucune,2024-03-01 09:00:00+00:00,2024-03-01 10:00:00+01:00,0,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17
7,249,0,aucune,2024-03-01 10:00:00+00:00,2024-03-01 11:00:00+01:00,0,0.258819045102521,-0.9659258262890682,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17
8,357,0,aucune,2024-03-01 11:00:00+00:00,2024-03-01 12:00:00+01:00,0,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17
9,323,0,aucune,2024-03-01 12:00:00+00:00,2024-03-01 13:00:00+01:00,0,-0.2588190451025208,-0.9659258262890683,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17
10,324,0,aucune,2024-03-01 13:00:00+00:00,2024-03-01 14:00:00+01:00,0,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17
11,317,0,aucune,2024-03-01 14:00:00+00:00,2024-03-01 15:00:00+01:00,0,-0.7071067811865471,-0.7071067811865479,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17
12,349,0,aucune,2024-03-01 15:00:00+00:00,2024-03-01 16:00:00+01:00,0,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17
13,429,0,aucune,2024-03-01 16:00:00+00:00,2024-03-01 17:00:00+01:00,0,-0.9659258262890683,-0.25881904510252063,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17
14,555,0,aucune,2024-03-01 17:00:00+00:00,2024-03-01 18:00:00+01:00,0,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17
15,441,0,aucune,2024-03-01 18:00:00+00:00,2024-03-01 19:00:00+01:00,0,-0.9659258262890684,0.2588190451025203,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17
16,210,0,aucune,2024-03-01 19:00:00+00:00,2024-03-01 20:00:00+01:00,0,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17
17,129,0,aucune,2024-03-01 20:00:00+00:00,2024-03-01 21:00:00+01:00,0,-0.7071067811865477,0.7071067811865474,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17
18,158,0,aucune,2024-03-01 21:00:00+00:00,2024-03-01 22:00:00+01:00,0,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17
19,158,0,aucune,2024-03-01 22:00:00+00:00,2024-03-01 23:00:00+01:00,0,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17
20,143,0,aucune,2024-03-01 23:00:00+00:00,2024-03-02 00:00:00+01:00,1,0.0,1.0,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17
21,112,0,aucune,2024-03-02 00:00:00+00:00,2024-03-02 01:00:00+01:00,1,0.25881904510252074,0.9659258262890683,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17
22,108,0,aucune,2024-03-02 01:00:00+00:00,2024-03-02 02:00:00+01:00,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17
23,42,0,aucune,2024-03-02 02:00:00+00:00,2024-03-02 03:00:00+01:00,1,0.7071067811865476,0.7071067811865476,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17
24,34,0,aucune,2024-03-02 03:00:00+00:00,2024-03-02 04:00:00+01:00,1,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17
25,54,0,aucune,2024-03-02 04:00:00+00:00,2024-03-02 05:00:00+01:00,1,0.9659258262890683,0.25881904510252074,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17
26,25,0,aucune,2024-03-02 05:00:00+00:00,2024-03-02 06:00:00+01:00,1,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17
27,81,0,aucune,2024-03-02 06:00:00+00:00,2024-03-02 07:00:00+01:00,1,0.9659258262890683,-0.25881904510252063,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17
28,112,0,aucune,2024-03-02 07:00:00+00:00,2024-03-02 08:00:00+01:00,1,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17
29,213,0,aucune,2024-03-02 08:00:00+00:00,2024-03-02 09:00:00+01:00,1,0.7071067811865476,-0.7071067811865475,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17
30,163,0,aucune,2024-03-02 09:00:00+00:00,2024-03-02 10:00:00+01:00,1,0.49999999999999994,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17
31,150,0,aucune,2024-03-02 10:00:00+00:00,2024-03-02 11:00:00+01:00,1,0.258819045102521,-0.9659258262890682,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17
32,183,0,aucune,2024-03-02 11:00:00+00:00,2024-03-02 12:00:00+01:00,1,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17
33,191,0,aucune,2024-03-02 12:00:00+00:00,2024-03-02 13:00:00+01:00,1,-0.2588190451025208,-0.9659258262890683,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17
34,223,0,aucune,2024-03-02 13:00:00+00:00,2024-03-02 14:00:00+01:00,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17
35,200,0,aucune,2024-03-02 14:00:00+00:00,2024-03-02 15:00:00+01:00,1,-0.7071067811865471,-0.7071067811865479,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17
36,168,0,aucune,2024-03-02 15:00:00+00:00,2024-03-02 16:00:00+01:00,1,-0.8660254037844385,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17
37,128,0,aucune,2024-03-02 16:00:00+00:00,2024-03-02 17:00:00+01:00,1,-0.9659258262890683,-0.25881904510252063,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17
38,115,0,aucune,2024-03-02 17:00:00+00:00,2024-03-02 18:00:00+01:00,1,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17
39,176,0,aucune,2024-03-02 18:00:00+00:00,2024-03-02 19:00:00+01:00,1,-0.9659258262890684,0.2588190451025203,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17
40,200,0,aucune,2024-03-02 19:00:00+00:00,2024-03-02 20:00:00+01:00,1,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17
41,87,0,aucune,2024-03-02 20:00:00+00:00,2024-03-02 21:00:00+01:00,1,-0.7071067811865477,0.7071067811865474,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17
42,112,0,aucune,2024-03-02 21:00:00+00:00,2024-03-02 22:00:00+01:00,1,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17
43,92,0,aucune,2024-03-02 22:00:00+00:00,2024-03-02 23:00:00+01:00,1,-0.25881904510252157,0.9659258262890681,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17
44,66,0,aucune,2024-03-02 23:00:00+00:00,2024-03-03 00:00:00+01:00,1,0.0,1.0,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17
45,63,0,aucune,2024-03-03 00:00:00+00:00,2024-03-03 01:00:00+01:00,1,0.25881904510252074,0.9659258262890683,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17
46,121,0,aucune,2024-03-03 01:00:00+00:00,2024-03-03 02:00:00+01:00,1,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17
47,28,0,aucune,2024-03-03 02:00:00+00:00,2024-03-03 03:00:00+01:00,1,0.7071067811865476,0.7071067811865476,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17
48,37,0,aucune,2024-03-03 03:00:00+00:00,2024-03-03 04:00:00+01:00,1,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17
49,18,0,aucune,2024-03-03 04:00:00+00:00,2024-03-03 05:00:00+01:00,1,0.9659258262890683,0.25881904510252074,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17
50,24,0,aucune,2024-03-03 05:00:00+00:00,2024-03-03 06:00:00+01:00,1,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17
51,66,0,aucune,2024-03-03 06:00:00+00:00,2024-03-03 07:00:00+01:00,1,0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17
52,134,0,aucune,2024-03-03 07:00:00+00:00,2024-03-03 08:00:00+01:00,1,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17
53,200,0,aucune,2024-03-03 08:00:00+00:00,2024-03-03 09:00:00+01:00,1,0.7071067811865476,-0.7071067811865475,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17
54,213,0,aucune,2024-03-03 09:00:00+00:00,2024-03-03 10:00:00+01:00,1,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17
55,278,0,aucune,2024-03-03 10:00:00+00:00,2024-03-03 11:00:00+01:00,1,0.258819045102521,-0.9659258262890682,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17
56,331,0,aucune,2024-03-03 11:00:00+00:00,2024-03-03 12:00:00+01:00,1,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17
57,311,0,aucune,2024-03-03 12:00:00+00:00,2024-03-03 13:00:00+01:00,1,-0.2588190451025208,-0.9659258262890683,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17
58,329,0,aucune,2024-03-03 13:00:00+00:00,2024-03-03 14:00:00+01:00,1,-0.4999999999999997,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17
59,414,0,aucune,2024-03-03 14:00:00+00:00,2024-03-03 15:00:00+01:00,1,-0.7071067811865471,-0.7071067811865479,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17
60,386,0,aucune,2024-03-03 15:00:00+00:00,2024-03-03 16:00:00+01:00,1,-0.8660254037844385,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17
61,325,0,aucune,2024-03-03 16:00:00+00:00,2024-03-03 17:00:00+01:00,1,-0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17
62,341,0,aucune,2024-03-03 17:00:00+00:00,2024-03-03 18:00:00+01:00,1,-1.0,-1.8369701987210297e-16,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17
63,291,0,aucune,2024-03-03 18:00:00+00:00,2024-03-03 19:00:00+01:00,1,-0.9659258262890684,0.2588190451025203,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17
64,217,0,aucune,2024-03-03 19:00:00+00:00,2024-03-03 20:00:00+01:00,1,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17
65,161,0,aucune,2024-03-03 20:00:00+00:00,2024-03-03 21:00:00+01:00,1,-0.7071067811865477,0.7071067811865474,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17
66,129,0,aucune,2024-03-03 21:00:00+00:00,2024-03-03 22:00:00+01:00,1,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17
67,63,0,aucune,2024-03-03 22:00:00+00:00,2024-03-03 23:00:00+01:00,1,-0.25881904510252157,0.9659258262890681,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17
68,50,0,aucune,2024-03-03 23:00:00+00:00,2024-03-04 00:00:00+01:00,0,0.0,1.0,0.0,1.0,1.0,6.123233995736766e-17
69,34,0,aucune,2024-03-04 00:00:00+00:00,2024-03-04 01:00:00+01:00,0,0.25881904510252074,0.9659258262890683,0.0,1.0,1.0,6.123233995736766e-17
70,17,0,aucune,2024-03-04 01:00:00+00:00,2024-03-04 02:00:00+01:00,0,0.49999999999999994,0.8660254037844387,0.0,1.0,1.0,6.123233995736766e-17
71,7,0,aucune,2024-03-04 02:00:00+00:00,2024-03-04 03:00:00+01:00,0,0.7071067811865476,0.7071067811865476,0.0,1.0,1.0,6.123233995736766e-17
72,10,0,aucune,2024-03-04 03:00:00+00:00,2024-03-04 04:00:00+01:00,0,0.8660254037844386,0.5000000000000001,0.0,1.0,1.0,6.123233995736766e-17
73,20,0,aucune,2024-03-04 04:00:00+00:00,2024-03-04 05:00:00+01:00,0,0.9659258262890683,0.25881904510252074,0.0,1.0,1.0,6.123233995736766e-17
74,59,0,aucune,2024-03-04 05:00:00+00:00,2024-03-04 06:00:00+01:00,0,1.0,6.123233995736766e-17,0.0,1.0,1.0,6.123233995736766e-17
75,228,0,aucune,2024-03-04 06:00:00+00:00,2024-03-04 07:00:00+01:00,0,0.9659258262890683,-0.25881904510252063,0.0,1.0,1.0,6.123233995736766e-17
76,794,0,aucune,2024-03-04 07:00:00+00:00,2024-03-04 08:00:00+01:00,0,0.8660254037844387,-0.4999999999999998,0.0,1.0,1.0,6.123233995736766e-17
77,694,0,aucune,2024-03-04 08:00:00+00:00,2024-03-04 09:00:00+01:00,0,0.7071067811865476,-0.7071067811865475,0.0,1.0,1.0,6.123233995736766e-17
78,328,0,aucune,2024-03-04 09:00:00+00:00,2024-03-04 10:00:00+01:00,0,0.49999999999999994,-0.8660254037844387,0.0,1.0,1.0,6.123233995736766e-17
79,291,0,aucune,2024-03-04 10:00:00+00:00,2024-03-04 11:00:00+01:00,0,0.258819045102521,-0.9659258262890682,0.0,1.0,1.0,6.123233995736766e-17
80,406,0,aucune,2024-03-04 11:00:00+00:00,2024-03-04 12:00:00+01:00,0,1.2246467991473532e-16,-1.0,0.0,1.0,1.0,6.123233995736766e-17
81,353,0,aucune,2024-03-04 12:00:00+00:00,2024-03-04 13:00:00+01:00,0,-0.2588190451025208,-0.9659258262890683,0.0,1.0,1.0,6.123233995736766e-17
82,333,0,aucune,2024-03-04 13:00:00+00:00,2024-03-04 14:00:00+01:00,0,-0.4999999999999997,-0.8660254037844388,0.0,1.0,1.0,6.123233995736766e-17
83,287,0,aucune,2024-03-04 14:00:00+00:00,2024-03-04 15:00:00+01:00,0,-0.7071067811865471,-0.7071067811865479,0.0,1.0,1.0,6.123233995736766e-17
84,329,0,aucune,2024-03-04 15:00:00+00:00,2024-03-04 16:00:00+01:00,0,-0.8660254037844385,-0.5000000000000004,0.0,1.0,1.0,6.123233995736766e-17
85,491,0,aucune,2024-03-04 16:00:00+00:00,2024-03-04 17:00:00+01:00,0,-0.9659258262890683,-0.25881904510252063,0.0,1.0,1.0,6.123233995736766e-17
86,704,0,aucune,2024-03-04 17:00:00+00:00,2024-03-04 18:00:00+01:00,0,-1.0,-1.8369701987210297e-16,0.0,1.0,1.0,6.123233995736766e-17
87,697,0,aucune,2024-03-04 18:00:00+00:00,2024-03-04 19:00:00+01:00,0,-0.9659258262890684,0.2588190451025203,0.0,1.0,1.0,6.123233995736766e-17
88,356,0,aucune,2024-03-04 19:00:00+00:00,2024-03-04 20:00:00+01:00,0,-0.8660254037844386,0.5000000000000001,0.0,1.0,1.0,6.123233995736766e-17
89,218,0,aucune,2024-03-04 20:00:00+00:00,2024-03-04 21:00:00+01:00,0,-0.7071067811865477,0.7071067811865474,0.0,1.0,1.0,6.123233995736766e-17
90,189,0,aucune,2024-03-04 21:00:00+00:00,2024-03-04 22:00:00+01:00,0,-0.5000000000000004,0.8660254037844384,0.0,1.0,1.0,6.123233995736766e-17
91,122,0,aucune,2024-03-04 22:00:00+00:00,2024-03-04 23:00:00+01:00,0,-0.25881904510252157,0.9659258262890681,0.0,1.0,1.0,6.123233995736766e-17
92,63,0,aucune,2024-03-04 23:00:00+00:00,2024-03-05 00:00:00+01:00,0,0.0,1.0,0.7818314824680298,0.6234898018587336,1.0,6.123233995736766e-17
93,20,0,aucune,2024-03-05 00:00:00+00:00,2024-03-05 01:00:00+01:00,0,0.25881904510252074,0.9659258262890683,0.7818314824680298,0.6234898018587336,1.0,6.123233995736766e-17
